question_id,original_question,improved_question,quality_score,remembering_score,understanding_score,applying_score,analyzing_score,evaluating_score,creating_score,language_score,average_confidence,pass_rate,agent_agreement
1,An orchestra of 120 players takes 40 minutes to play Beethoven's 9th Symphony. How long would it take for 60 players to play the symphony? Let P be number of players and T the time playing. ,"An orchestra of 120 players takes 40 minutes to play Beethoven's 9th Symphony. Assuming the symphony's duration is independent of the number of players, how long would it take for 60 players to perform the symphony? Let P represent the number of players and T represent the time taken to play the symphony. ",0.477,70.0,50.0,50.0,85.0,85.0,70.0,75.0,88.57142857142857,1.0,0.805484925112235
2,"A plane with 150 passengers flies in 4 hours to California, and please answer how long the plane will need when it transports 300 people. ","A plane travels from New York to California in 4 hours with a capacity of 150 passengers. How long will it take to make the same trip with 300 passengers, assuming the plane can only carry 150 passengers at a time?",0.596,80.0,70.0,70.0,85.0,85.0,85.0,100.0,90.71428571428571,1.0,0.8833355837826197
3,There are 49 dogs signed up to compete in the dog show. There are 36 more small dogs than large dogs signed up to compete. How many small dogs are signed up to compete? ,"In a dog show, there are 49 dogs in total. The number of small dogs is 36 more than the number of large dogs. How many small dogs are signed up to compete?",0.466,95.0,50.0,50.0,50.0,65.0,65.0,45.0,90.0,1.0,0.7327387580875756
4,Now 7 men have 7 wives. Each man and each wife have 7 children. What's the total number of people? ,"If there are 7 men and 7 wives, each man has 7 children and each wife has 7 children, how many people are there in total?",0.461,90.0,70.0,65.0,70.0,70.0,65.0,70.0,87.85714285714286,1.0,0.8895463898281274
5,"Infinitely many people are about to play this game: they will each get a black or a white hat placed on their heads simultaneously, and each will be able to see everyone else's hat but not their own. They cannot communicate in any shape or form once the hats are placed on their heads - no winks, nudges or smiles.

Then, at the sound of the gong, everyone needs to simultaneously announce the color of their own hat, at the exact same time, and with the possible exception of finitely many people, all of them must get it right.","A game is played by an infinite number of people, each of whom is given a black or a white hat placed on their head simultaneously. Each person can see the hats of everyone else but not their own. They cannot communicate in any form after the hats are placed. At the sound of a gong, everyone must simultaneously announce the color of their own hat. With the possible exception of finitely many people, all participants must correctly guess the color of their own hat. How can this be achieved?",0.827,95.0,85.0,65.0,85.0,85.0,85.0,85.0,92.14285714285714,1.0,0.900325608635123
6,A farmer has 60 meters of fencing to create a four-sided enclosure. He wants a rectangular shape that uses all the fencing. What is the maximum area he can enclose? The corners do not ened to be right angles. ,"A farmer has 60 meters of fencing to create a four-sided enclosure. He wants to maximize the area of a rectangular shape using all the fencing. The corners do not need to be right angles. What is the maximum area he can enclose?"",
    ""solution"": ""To find the maximum area with a fixed perimeter \( P = 60 \), we consider the rectangle where the area is maximized for a given perimeter. If the rectangle is a square, each side will be: \[ \frac{60}{4} = 15 \text{ m} \]. Therefore, the area of the square is: \[ 15 \times 15 = 225 \text{ m}^2 \]. Since a rectangle (a special case of a parallelogram) with sides 15 m each will also have the maximum area, the maximum area that can be enclosed is: \[ 225 \text{ m}^2 \].",0.481,95.0,50.0,50.0,65.0,70.0,65.0,85.0,90.71428571428571,1.0,0.7736920730999955
7,"A fractory produces chairs and tables. If the total cost of production is $5000 and each chair costs $20 to make, while each table costs $50. How much chairs and tables were produced? ","A furniture factory produces chairs and tables. If the total cost of production is $5000, with each chair costing $20 to make and each table costing $50, how many chairs and tables were produced? Assume that the factory can produce any number of chairs and tables, including zero, but the total production cost cannot exceed $5000. Find all possible combinations of chairs and tables that meet this condition."",
  ""solution"": ""Let \( x \) represent the number of chairs and \( y \) represent the number of tables produced. The total cost equation can be written as: \( 20x + 50y = 5000 \). Since \( x \) and \( y \) can be any non-negative integers, we can create an inequality to represent all possible combinations: \( 20x + 50y \leq 5000 \). Solving for \( y \), we get \( y \leq 100 - \frac{20}{50}x = 100 - 0.4x \). Since \( y \) must be a non-negative integer, the possible values for \( y \) range from 0 to 100. Similarly, \( x \) can range from 0 to 250. Therefore, the solution involves finding all pairs of non-negative integers \( (x, y) \) that satisfy the inequality \( 20x + 50y \leq 5000 \).",0.594,95.0,85.0,65.0,85.0,85.0,70.0,75.0,90.0,1.0,0.8795469860425711
8,"Rose is twice as old as Mark was when Rose was as old as Mark is now. If Mark is 20, how old is Rose? ","Rose is currently twice as old as the age Mark was when Rose was as old as Mark is now. If Mark is currently 20 years old, how old is Rose?",0.59,90.0,85.0,70.0,85.0,85.0,75.0,75.0,87.85714285714286,1.0,0.9160457258362377
9,"A student has test scores of 80, 85, 90 in math. The teacher says, the average score of your last two tests is 88, and the average score of your last three tests is 87. What is the score of the last test?  ","A student has test scores of 80, 85, and 90 in math. The teacher has provided two pieces of information: the average score of the last two tests is 88, and the average score of all three tests is 87. Determine the score of the last test.",0.991,100.0,85.0,85.0,85.0,85.0,85.0,95.0,95.71428571428571,1.0,0.9344835612529357
10,Jan and Sam paint a fence together. Jan is 9 year-old and Sam is 12 year-old. John can paint it alone in 4 hours. Jan can paint it alone in 9 hours. Sam can paint it alone in 12 hours. How long does it take them to paint it together if Jan and Sam both work at the same time? ,"John, Jan, and Sam are painting a fence together. John, who is 18 years old, can paint the fence alone in 4 hours. Jan, who is 9 years old, can paint the fence alone in 9 hours. Sam, who is 12 years old, can paint the fence alone in 12 hours. How long does it take them to paint the fence together if they all work at the same time?"",
  ""solution"": ""First, we determine the work rates of each individual: John's rate is 1 fence per 4 hours, Jan's rate is 1 fence per 9 hours, and Sam's rate is 1 fence per 12 hours. Their rates can be expressed as fractions of a fence per hour: John's rate is \(\frac{1}{4}\), Jan's rate is \(\frac{1}{9}\), and Sam's rate is \(\frac{1}{12}\). To find their combined work rate, we add these fractions. The least common denominator (LCD) of 4, 9, and 12 is 36. Thus, their combined work rate is \(\frac{1}{4} + \frac{1}{9} + \frac{1}{12} = \frac{9}{36} + \frac{4}{36} + \frac{3}{36} = \frac{16}{36} = \frac{4}{9}\) of a fence per hour. Therefore, the time required to complete the fence together is \(\frac{1}{\frac{4}{9}} = \frac{9}{4}\) hours.",0.986,90.0,85.0,85.0,85.0,85.0,85.0,90.0,92.85714285714286,1.0,0.973865473882906
11,"Billy orders 3 large pizzas for his party. Each pizza is cut into 8 slices. Before the guests arrive, his dog eats 5 slices from one of the pizzas. Then Billy eats half of what’s left from the second pizza. His friend Jessica takes a quarter of the remaining slices from the third pizza. How many slices are left after everyone eats?","Billy orders 3 large pizzas, each cut into 8 slices, for a party. His dog eats 5 slices from one of the pizzas. Billy then eats half of the remaining slices from the second pizza, and Jessica takes a quarter of the remaining slices from the third pizza. How many slices are left after everyone has eaten?",0.593,90.0,70.0,70.0,85.0,85.0,75.0,95.0,89.28571428571429,1.0,0.8876644870625816
