ID,question,Figure,LaTeX question,solution,mathConcept1,mathConcept2,mathConcept3,Difficulty,Grade,Resource
2024A01,What integer is equal to √10^2 +2·10·11+11^2 ?,N,"What integer is equal to 
\ [
\sqrt{10^2} + 2 \cdot 10 \cdot 11 + 11^2}?
\]","\section*{Solution 1}
Evaluating,
\[
10^2 + 2 \cdot 10 \cdot 11 + 11^2 = 100 + 220 + 121 = \sqrt{441} = 21.
\]

\section*{Solution 2}
Since \( x^2 + 2xy + y^2 = (x + y)^2 \), then
\[
\sqrt{10^2 + 2 \cdot 10 \cdot 11 + 11^2} = \sqrt{(10 + 11)^2} = 21.
\]
\section*{Answer}
21",Arithmetic,Operations involving real numbers,"Manipulates numerical expressions involving a. integral exponents (rational base) and fractional exponents b. powers of bases (change of base), exponents, radicals (nth root), using their properties",1,11~12,2024 CSMC
2024A02,Two vertical trees are 5 m and 15 m tall. The bases of the trees are 24 m apart along horizontal ground. A bird flies from the top of the shorter tree to the top of the taller tree along a straight path at a constant speed of 4 m/s. How long does it take the bird to complete the flight? figure*,Y,"\documentclass{article}
\usepackage{amsmath}
\usepackage{graphicx}
\usepackage{tikz}
\begin{document}
Two vertical trees are 5 m and 15 m tall. The bases of the trees are 24 m apart along horizontal ground. A bird flies from the top of the shorter tree to the top of the taller tree along a straight path at a constant speed of 4 m/s. How long does it take the bird to complete the flight?

\begin{center}
\begin{tikzpicture}
    % Ground
    \draw[thick] (0,0) -- (8,0);
    
    % First tree
    \draw[thick] (0,0) -- (0,1) node[left]{5 m};
    
    % Second tree
    \draw[thick] (8,0) -- (8,3) node[right]{15 m};
    
    % Flight path
    \draw[dashed, ->] (0,1) -- (8,3) node[midway, above, sloped]{Flight Path};
    
    % Horizontal distance
    \draw[<->] (0,-0.5) -- (8,-0.5) node[midway, below]{24 m};
\end{tikzpicture}
\end{center}

\end{document}","\section*{Solution}

Since \( AB \) and \( PD \) are vertical, and \( AP \) and \( BD \) are horizontal, \( ABDP \) is a rectangle, which means that \( PD = 5 \, \text{m} \) and \( AP = 24 \, \text{m} \).

Since \( CD = 15 \, \text{m} \) and \( PD = 5 \, \text{m} \), then 
\[
CP = CD - PD = 10 \, \text{m}.
\]

By the Pythagorean Theorem,
\[
AC = \sqrt{AP^2 + CP^2} = \sqrt{(24 \, \text{m})^2 + (10 \, \text{m})^2} = \sqrt{676 \, \text{m}^2} = 26 \, \text{m},
\]
since \( AC > 0 \).

Since the bird flies \( 26 \, \text{m} \) at \( 4 \, \text{m/s} \), its time to complete the flight is
\[
\frac{26 \, \text{m}}{4 \, \text{m/s}} = 6.5 \, \text{s}.
\]
\section*{Answer}
6.5",Geometry,Spatial sense and analyzing situations involving geometric figures; Analyzing situations involving measurements; Analyzing situations using analytic geometry,Identifies the properties of plane figures using geometric transformations and constructions; Time; Length,2,11~12,2024 CSMC
2024A03,"At the end of yesterday’s soccer game between Team Why and Team Zed, Team Why had scored 3 goals and Team Zed had scored 2 goals. At half-time of the game, TeamWhyhadscoredygoals and TeamZedhadscoredzgoals. Ify≥0andz≥0, how many possibilities are there for the ordered pair of integers (y, z)?
(In soccer, each team’s score is always a non-negative integer that never decreases as the game proceeds.)",N,"At the end of yesterday’s soccer game between Team Why and Team Zed, Team Why had scored 3 goals and Team Zed had scored 2 goals. At half-time of the game, Team Why had scored \( y \) goals and Team Zed had scored \( z \) goals. If \( y \geq 0 \) and \( z \geq 0 \), how many possibilities are there for the ordered pair of integers \( (y, z) \)?

\textbf{Note:} In soccer, each team’s score is always a non-negative integer that never decreases as the game proceeds.","\section*{Solution}
Since Team Why had scored 3 goals at the end of the game, then \( y \leq 3 \). Since Team Zed had scored 2 goals at the end of the game, then \( z \leq 2 \). Therefore, 
\[
0 \leq y \leq 3 \quad \text{and} \quad 0 \leq z \leq 2.
\]
The only additional restriction is that \( y \) and \( z \) are both integers.

Thus, there are 4 possible values for \( y \) and 3 possible values for \( z \), which means that there are:
\[
4 \cdot 3 = 12 \quad \text{possible pairs } (y, z).
\]
These pairs are:
\[
(y, z) = (0,0), (0,1), (0,2), (1,0), (1,1), (1,2), (2,0), (2,1), (2,2), (3,0), (3,1), (3,2).
\]
These pairs correspond to the possible scores at half-time.
\section*{Answer}
12",Probability,Processing data from random experiments,"Recognizes variability in possible outcomes (uncertainty); Enumerates the possible outcomes of a random experiment using tables, tree diagrams, or other representations; Defines the sample space of a random experiment",3,11~12,2024 CSMC
2024A04,"For how many ordered quadruples (a, b, c, d) of positive integers with d ≤ 8 is d equal to the product of a, b and c? (That is, for how many such ordered quadruples is abc = d?)",N,"For how many ordered quadruples \((a, b, c, d)\) of positive integers with \(d \leq 8\) is \(d\) equal to the product of \(a\), \(b\), and \(c\)? (That is, for how many such ordered quadruples is \(abc = d\)?)","\section*{Solution}
We are told that \(a, b, c, d\) are positive integers with \(abc = d\) and \(d \leq 8\).  
We determine the number of possible quadruples \((a, b, c, d)\) by looking at each possible value of \(d\).  

If \(d = 1\), then \(abc = 1\). Since \(a, b, c\) are positive integers, \(a = b = c = 1\).  
This means that there is 1 quadruple in this case, namely \((1, 1, 1, 1)\).  

If \(d = 2\), then \(abc = 2\). Since 2 is prime, one of \(a, b, c\) equals 2, and the other two variables equal 1.  
This gives 3 quadruples: \((a, b, c, d) = (2, 1, 1, 2), (1, 2, 1, 2), (1, 1, 2, 2)\).  

Similarly, when \(d = 3, d = 5,\) and \(d = 7\) (the other possible prime values of \(d\)), there are 3 quadruples for each case.  

If \(d = 4\), then \(abc = 4\). We need to determine the ways in which 4 can be factored as the product of three positive integers.  
These ways are \(1 \cdot 1 \cdot 4 = 4\) and \(1 \cdot 2 \cdot 2 = 4\).  

In each case, there are 3 ways to arrange the factors on the left side, which are the possible values of \(a, b, c\):  
\[
1 \cdot 1 \cdot 4 = 1 \cdot 4 \cdot 1 = 4 \cdot 1 \cdot 1 = 4  
\]
\[
1 \cdot 2 \cdot 2 = 2 \cdot 1 \cdot 2 = 2 \cdot 2 \cdot 1 = 4  
\]
Thus, there are 6 quadruples in this case.  

If \(d = 6\), then \(abc = 6\). The possible factorizations of 6 into three positive factors are \(1 \cdot 1 \cdot 6 = 6\) and \(1 \cdot 2 \cdot 3 = 6\).  

In the first case, there are again 3 quadruples.  
In the second case, there are 6 ways of arranging the factors:  
\[
1 \cdot 2 \cdot 3 = 1 \cdot 3 \cdot 2 = 2 \cdot 1 \cdot 3 = 2 \cdot 3 \cdot 1 = 3 \cdot 1 \cdot 2 = 3 \cdot 2 \cdot 1 = 6  
\]
Thus, if \(d = 6\), there are 9 quadruples.  

If \(d = 8\), then \(abc = 8\). The possible factorizations of 8 into three positive factors are \(1 \cdot 1 \cdot 8 = 8\), \(1 \cdot 2 \cdot 4 = 8\), and \(2 \cdot 2 \cdot 2 = 8\).  

These cases give 3, 6, and 1 quadruples, for a total of 10.  

Combining all of the cases, there are  
\[
1 + 3 + 3 + 3 + 3 + 6 + 9 + 10 ",Arithmetic,Operations involving real numbers,"Fractions; Properties of divisibility; Computes, in writing, sequences of operations (numbers written in decimal
notation) in accordance with the order of operations, using equivalent ways of
writing numbers and the properties of operations (with no more than two levels of
parentheses)",4,11~12,2024 CSMC
2024A05,"In the diagram, ABCDEF is a hexagon with six equal interior angles (that is,
_ABC = _BCD = _CDE = _DEF = _EFA = _FAB). Also, BC = EF = 6
andAB=CD=DE=FA=2. LinesegmentsAC,BD,CE,DF,EA,FB
create a smaller hexagon PQRSTU, as shown. If the area of hexagon PQRSTU √
is tn, where n and t are positive integers with t as small as possible, what is the ordered pair (n, t)? figure*",Y,"In the diagram, \(ABCDEF\) is a hexagon with six equal interior angles (that is, 
\(\angle ABC = \angle BCD = \angle CDE = \angle DEF = \angle EFA = \angle FAB\)). 
Also, \(BC = EF = 6\) and \(AB = CD = DE = FA = 2\). Line segments \(AC\), \(BD\), \(CE\), \(DF\), \(EA\), and \(FB\) 
create a smaller hexagon \(PQRSTU\), as shown. 

If the area of hexagon \(PQRSTU\) is \(\sqrt{n}\), where \(n\) and \(t\) are positive integers with \(t\) as small as possible, 
what is the ordered pair \((n, t)\)?","We use coordinate geometry. Suppose that \(F\) is the origin and \(E\) lies on the positive \(x\)-axis.  
The coordinates of \(F\) are \((0, 0)\). Since \(FE = 6\), the coordinates of \(E\) are \((6, 0)\).  

Next, we find the coordinates of \(B\).  
We note that \(FA = AB = 2\).  
Since the six interior angles of hexagon \(ABCDEF\) are equal, the measure of each is equal to \(\frac{1}{6} \cdot 720^\circ = 120^\circ\).  
(The sum of the measures of the interior angles of any hexagon is \(720^\circ\).)  
This means that \(\triangle FAB\) is isosceles with \(FA = AB = 2\) and \(\angle FAB = 120^\circ\).  

Since \(\angle FAB = 120^\circ\), then \(\angle AFB = \angle ABF = \frac{1}{2}(180^\circ - 120^\circ) = 30^\circ\).  
Since \(\angle AFE = 120^\circ\) and \(\angle AFB = 30^\circ\), then \(\angle BFE = \angle AFE - \angle AFB = 90^\circ\),  
which means that \(BF\) is vertical and so \(B\) lies on the positive \(y\)-axis.  

If we draw a perpendicular from \(A\) to a point \(M\) on \(BF\), then, because \(\triangle FAB\) is isosceles,  
\(M\) is the midpoint of \(BF\) and \(AM\) bisects \(\angle FAB\).This means that \(\triangle BAM\) is a 30°-60°-90° triangle.  
Thus, \(BM = \frac{\sqrt{3}}{2} AB = \sqrt{3}\) and so \(BF = 2\sqrt{3}\), which means that the coordinates of \(B\) are \((0, 2\sqrt{3})\).  

(We could have determined the length of \(BF\) using the cosine law in \(\triangle BAF\).)  
Also, \(AM = \frac{1}{2} AB = 1\). This means that the coordinates of \(A\) are \((-1, \sqrt{3})\).  

Using similar arguments, the coordinates of \(C\) are \((6, 2\sqrt{3})\), and the coordinates of \(D\) are \((7, \sqrt{3})\).  

We can determine the area of hexagon \(PQRSTU\) by starting with the area of rectangle \(BCEF\)  
(which is \(6 \cdot 2\sqrt{3} = 12\sqrt{3}\)) and subtracting the areas of \(\triangle UFT, \triangle BPQ, \triangle CRQ, \triangle SET, \triangle BCQ, \text{ and } \triangle FET\).  

By symmetry, the areas of \(\triangle BPQ, \triangle CRQ, \triangle SET\) are all equal.  
Also, by symmetry, the areas of \(\triangle BCQ \text{ and } \triangle FET\) are equal.  

We determine the area of \(\triangle UFT\) and the area of \(\triangle FET\).  
To do this, we determine the coordinates of \(U\) and of \(T\).  

The line segment \(FD\) passes through \(F(0, 0)\) and \(D(7, \sqrt{3})\).  
Thus, it has slope \(\frac{\sqrt{3}}{7}\) and equation \(y = \frac{\sqrt{3}}{7} x\).  

The line segment \(AE\) passes through \(A(-1, \sqrt{3})\) and \(E(6, 0)\).  
Thus, it has slope \(-\frac{\sqrt{3}}{7}\) and equation \(y = -\frac{\sqrt{3}}{7}(x - 6) = -\frac{\sqrt{3}}{7} x + \frac{6\sqrt{3}}{7}\).  

This means that the coordinates of \(U\) (which is the \(y\)-intercept of this line) are \((0, \frac{6\sqrt{3}}{7})\).  

To find the coordinates of \(T\), we find the point of intersection of \(AE\) and \(FD\).  
Equating expressions for \(y\), we obtain \(\frac{\sqrt{3}}{7} x = -\frac{\sqrt{3}}{7} x + \frac{6\sqrt{3}}{7}\), which gives \(\frac{2\sqrt{3}}{7} x = \frac{6\sqrt{3}}{7}\) or \(x = 3\).  
(It should not be surprising that the \(x\)-coordinate of \(T\) is \(x = 3\).)  

When \(x = 3\), we obtain \(y = \frac{3\sqrt{3}}{7}\), and so the coordinates of \(T\) are \((3, \frac{3\sqrt{3}}{7})\).  

So, \(\triangle FET\) has base \(FE = 6\) and height equal to the distance from \(T\) to \(FE\) (which is \(\frac{3\sqrt{3}}{7}\)).  
Thus, the area of \(\triangle FET\) is \(\frac{1}{2} \cdot 6 \cdot \frac{3\sqrt{3}}{7} = \frac{9\sqrt{3}}{7}\).  

Also, \(\triangle UFT\) has vertical base \(UF\) (which has length \(\frac{6\sqrt{3}}{7}\)) and horizontal height equal to the distance from \(T\) to \(UF\) (which is \(3\)).  
Thus, the area of \(\triangle UFT\) is \(\frac{1}{2} \cdot \frac{6\sqrt{3}}{7} \cdot 3 = \frac{9\sqrt{3}}{7}\).  

(Can you see a reason why this should be equal to the area of \(\triangle FET\)?)  

Finally, this means that the area of \(PQRSTU\) is equal to \(12\sqrt{3} - 6 - \frac{9\sqrt{3}}{7} - \frac{84\sqrt{3}}{7} = \frac{54\sqrt{3}}{7}\),  
which equals \(\frac{2700}{7}\).  

Therefore, \((n, t) = (2700, 7)\).",Geometry,Plane figures; Angles; Length; Area; ,"Determines measures of angles using the properties of the following angles:
complementary, supplementary, vertically opposite, alternate interior, alternate
exterior and corresponding; Constructs relations that can be used to calculate the area of plane figures:
quadrilateral, triangle, circle (sectors); Finds unknown measurements, using properties of figures and relations",5,11~12,2024 CSMC
2024A06,"A Gleeson list is an increasing list of distinct positive integers with a sum of 2024. For example, 70, 700, 1254 is a Gleeson list of length 3 and 2, 4, 6, 10, 15, 987, 1000 is a Gleeson list of length 7. Let M be the maximum possible length of a Gleeson list. How many Gleeson lists of length M are there? ",N,"A \textit{Gleeson list} is an increasing list of distinct positive integers with a sum of 2024. For example, \(70, 700, 1254\) is a Gleeson list of length 3, and \(2, 4, 6, 10, 15, 987, 1000\) is a Gleeson list of length 7. Let \(M\) be the maximum possible length of a Gleeson list. How many Gleeson lists of length \(M\) are there?","\section*{Problem 6}

A list of distinct positive integers has a sum that is at least 
\[ 1 + 2 + \cdots + (m - 1) + m = \frac{1}{2}m(m+1). \]

We note that 
\[
\frac{1}{2} \cdot 63 \cdot 64 = 2016 \quad \text{and} \quad \frac{1}{2} \cdot 64 \cdot 65 = 2080.
\]
In other words, the sum 
\[
1 + 2 + \cdots + 63 + 64 = 63 + 64
\]
is greater than 2024, and any sum of more than 64 distinct positive integers is greater still.  
This means that a Gleeson list consists of at most 63 integers.  

Note that 
\[
1 + 2 + \cdots + 62 + 63 = \frac{1}{2} \cdot 63 \cdot 64 = 2016
\]
and so 
\[
1 + 2 + \cdots + 62 + 63 + 8 = 2024,
\]
which means that 
\[
1 + 2 + \cdots + 61 + 62 + 71 = 2016.
\]

This means that there is at least one Gleeson list of length 63, and there cannot be a Gleeson list of length greater than 63, so \(M\), the maximum length of a Gleeson list, is 63.  
We need to determine the number of Gleeson lists of length \(M = 63\).  

Suppose that \(a_1, a_2, a_3, \ldots, a_{62}, a_{63}\) is a Gleeson list.  
That is, \(a_1, a_2, a_3, \ldots, a_{62}, a_{63}\) are positive integers with \(a_1 < a_2 < \cdots < a_{62} < a_{63}\) and  
\[
a_1 + a_2 + \cdots + a_{62} + a_{63} = 2024.
\]

For each \(j\) with \(1 \leq j \leq 63\), let \(b_j = a_j - j\), which means that \(a_j = j + b_j\).  
That is, we write a generic Gleeson list as  
\[
1 + b_1, 2 + b_2, \ldots, 62 + b_{62}, 63 + b_{63},
\]
where the \(b_j\)'s are the ""extra"" in each term.

For each \(j\) with \(1 \leq j \leq 62\), since \(a_j\) and \(a_{j+1}\) are integers with \(a_{j+1} > a_j\), then \(a_{j+1} \geq a_j + 1\).  
This means that \(j + 1 + b_{j+1} \geq j + b_j + 1\) or \(b_{j+1} \geq b_j\).  
This means that \(b_1, b_2, \ldots, b_{62}, b_{63}\) is a list of integers with \(b_1 \leq b_2 \leq \cdots \leq b_{62} \leq b_{63}\).  

Since \(a_1 = 1 + b_1 \geq 1\), then \(b_1 \geq 0\), and so  
\[
0 \leq b_1 \leq b_2 \leq \cdots \leq b_{62} \leq b_{63}.
\]
Also, since \(a_1 + a_2 + \cdots + a_{62} + a_{63} = 2024,\) then  
\[
(1 + b_1) + (2 + b_2) + \cdots + (62 + b_{62}) + (63 + b_{63}) = 2024.
\]

Since 
\[
1 + 2 + \cdots + 62 + 63 = 2016,
\]
then 
\[
b_1 + b_2 + \cdots + b_{62} + b_{63} = 8.
\]

In other words, to count the number of Gleeson lists of length 63, we need to count the number of non-decreasing lists of non-negative integers \(b_1, b_2, \ldots, b_{62}, b_{63}\) with a sum of 8.  

We determine these lists by categorizing them using the number of non-zero terms, in each case with the understanding that the terms before these are all 0.  

\begin{itemize}
    \item 1 non-zero term: 8
    \item 2 non-zero terms: \(1, 7; 2, 6; 3, 5; 4, 4\)
    \item 3 non-zero terms: \(1, 1, 6; 1, 2, 5; 1, 3, 4; 2, 2, 4; 2, 3, 3\)
    \item 4 non-zero terms: \(1, 1, 1, 5; 1, 1, 2, 4; 1, 1, 3, 3; 1, 2, 2, 3; 2, 2, 2, 2\)
    \item 5 non-zero terms: \(1, 1, 1, 1, 4; 1, 1, 1, 2, 3; 1, 1, 2, 2, 2\)
    \item 6 non-zero terms: \(1, 1, 1, 1, 1, 3; 1, 1, 1, 1, 2, 2\)
    \item 7 non-zero terms: \(1, 1, 1, 1, 1, 1, 2\)
    \item 8 non-zero terms: \(1, 1, 1, 1, 1, 1, 1, 1\)
\end{itemize}

In each case, we determine the lists by starting with the largest possible entries at the right and adjusting to the left in a systematic way.  

There are 22 such lists, and so there are 22 Gleeson lists of length 63.  

\[
\textbf{Answer: } 22
\]",Probability,Analyzing probability situation,"Calculates the probability of outcomes of random experiments related to situations involving arrangements, permutations or combinations",6,11~12,2024 CSMC
2024B1a,"For each question in Part B, your solution must be well-organized and contain words of explanation or justification. Marks are awarded for completeness, clarity, and style of presentation. A correct solution, poorly presented, will not earn full marks. Determine the integer x for which 2^(x+1) = 64.",N,"For each question in Part B, your solution must be well-organized and contain words of explanation or justification. Marks are awarded for completeness, clarity, and style of presentation. A correct solution, poorly presented, will not earn full marks. 
Determine the integer \(x\) for which:
\[
2x + 1 = 64.
\]","Since \( 64 = 2^6 \), then \( 2^{x+1} = 2^6 \), which gives \( x + 1 = 6 \), and so \( x = 5 \).
    ",Algebra,Analyzing situations using equations or inequalities,Recognizes whether a situation can be translated by an equation or an inequality; Recognizes or constructs relations or formulas; Manipulates relations or formulas (e.g. isolates an element),1,11~12,2024 CSMC
2024B1b,"For each question in Part B, your solution must be well-organized and contain words of explanation or justification. Marks are awarded for completeness, clarity, and style of presentation. A correct solution, poorly presented, will not earn full marks. Determine the values of t and u that satisfy the following system of equations:
2^(t+u) = 2^8 5^(u_3) = 5^2",N,"For each question in Part B, your solution must be well-organized and contain words of explanation or justification. Marks are awarded for completeness, clarity, and style of presentation. A correct solution, poorly presented, will not earn full marks. 
Determine the values of \(t\) and \(u\) that satisfy the following system of equations:
\[
2^{t+u} = 2^8 \quad \text{and} \quad 5^{u-3} = 5^2.
\]","Comparing exponents in the two equations, we obtain 
    \[
    t + u = 8 \quad \text{and} \quad u - 3 = 2.
    \]
    From the second equation, \( u = 5 \). Substituting \( u = 5 \) into \( t + u = 8 \) gives \( t = 3 \). Therefore, \( t = 3 \) and \( u = 5 \).
    ",Algebra,Analyzing situations using equations or inequalities,Determines the missing term in an equation (relations between operations); Solves first-degree inequalities in one variable,1,11~12,2024 CSMC
2024B1c,"For each question in Part B, your solution must be well-organized and contain words of explanation or justification. Marks are awarded for completeness, clarity, and style of presentation. A correct solution, poorly presented, will not earn full marks. Determine the integers m and r for which 2^(2m+r) * 5^(3m_r) = 2^7*5^3",N,"For each question in Part B, your solution must be well-organized and contain words of explanation or justification. Marks are awarded for completeness, clarity, and style of presentation. A correct solution, poorly presented, will not earn full marks. Determine the integers \(m\) and \(r\) for which:
\[
2^{2m+r} \cdot 5^{3m-r} = 2^7 \cdot 5^3.
\]","Since \( m \) and \( r \) are integers, we can compare exponents to obtain 
    \[
    2m + r = 7 \quad \text{and} \quad 3m - r = 3.
    \]
    (We can do this because every positive integer greater than 1 can be uniquely factored as a product of prime numbers.) Adding these two equations, we obtain 
    \[
    (2m + r) + (3m - r) = 7 + 3 \quad \Rightarrow \quad 5m = 10,
    \]
    which gives \( m = 2 \). Substituting into the first equation gives \( 2 \cdot 2 + r = 7 \), and so \( r = 3 \). Therefore, \( m = 2 \) and \( r = 3 \).
    ",Algebra,Exponent Rules and System of Equations (Working with exponential equations),Solves a system of first-degree inequalities in two variables,1,11~12,2024 CSMC
2024B1d,"For each question in Part B, your solution must be well-organized and contain words of explanation or justification. Marks are awarded for completeness, clarity, and style of presentation. A correct solution, poorly presented, will not earn full marks. Show that there are no integers p and q for which 2^(p+q)*5^(p-q) = 80.",N,"For each question in Part B, your solution must be well-organized and contain words of explanation or justification. Marks are awarded for completeness, clarity, and style of presentation. A correct solution, poorly presented, will not earn full marks. Show that there are no integers \(p\) and \(q\) for which:
\[
2^{p+q} \cdot 5^{p-q} = 80.
\]","First, we note that \( 80 = 16 \cdot 5 = 2^4 \cdot 5^1 \). Since \( 2^p \cdot 5^q = 2^4 \cdot 5^1 \) and \( p \) and \( q \) are integers, then comparing exponents, we obtain 
    \[
    p + q = 4 \quad \text{and} \quad p - q = 1.
    \]
    Adding these equations, we obtain \( 2p = 5 \), which gives \( p = 2.5 \). 

This means that there are no integers \( p \) and \( q \) that satisfy this equation.First, we note that \( 80 = 16 \cdot 5 = 2^4 \cdot 5^1 \). 

Since the right side contains only one factor of 5, this means that \( p - q = 1 \), which implies that \( p \) and \( q \) are either odd and even, or even and odd.  
    In turn, \( p + q \) is the sum of an even integer and an odd integer, so \( p + q \) is odd. But \( 80 \) includes an even number of factors of 2, and we know that the left side includes an odd number of factors of 2. 

This is a contradiction, and so there are no integers \( p \) and \( q \) that satisfy this equation.
\end{enumerate}",Arithmetic and Algebra,System of Equations (Working with exponential equations) and Prime Factorization,Solves a system of first-degree inequalities in two variables; Decomposes a natural number into prime factors,1,11~12,2024 CSMC
